PROP_SUB_TYPE_EN,ACTUAL_AREA,COMMON_AREA,ACTUAL_COMMON_AREA,BUILT_UP_AREA,BLD_LEVELS,SHOPS,FLATS,OFFICES,SWIMMING_POOLS,ELEVATORS,CREATION_DATE,IS_OFFPLAN_EN,PRE_REGISTRATION_NUMBER,IS_FREE_HOLD_EN,IS_LEASE_HOLD_EN,FLOORS,ROOMS_EN,CAR_PARKS,LAND_NUMBER,LAND_SUB_NUMBER,LAND_TYPE_EN,MASTER_PROJECT_EN,PROJECT_NUMBER,PROJECT_EN,AREA_EN,ZONE_EN
"Building","0","","","0","","","","","","","2026-03-30 08:03:09","Ready","","Free Hold","No","","","","72","0","","","","","Al Thanyah First","Dubai"
"Building","0","","","0","","","","","","","2026-03-03 09:10:28","Ready","","Free Hold","No","","","","357","0","","","","","Warsan Fourth","Dubai"
"Building","0","","","0","","","","","","","2026-04-23 08:11:45","Ready","","Free Hold","No","","","","8062","","Government Authorities","","","","Madinat Al Mataar","Dubai"
"Building","0","","","0","","","","","","","2026-04-17 07:57:51","Ready","","Free Hold","No","","","","229","0","","","","","Warsan Fourth","Dubai"
"Building","0","","","0","","","","","","","2026-04-25 14:38:00","Ready","","Free Hold","Yes","","","","2342","","Commercial","","","","Nadd Hessa","Dubai"
"Building","0","","","0","","","","","","","2026-03-07 23:18:07","Ready","","Free Hold","No","","","","3335","0","Commercial","","","","Al Satwa","Dubai"
"Building","0","","","0","","","","","","","2026-02-26 02:17:43","Ready","","Free Hold","No","","","","3682","0","Commercial","","","","Al Satwa","Dubai"
"Building","0","","","0","","","","","","","2026-02-26 04:38:09","Ready","","Free Hold","No","","","","813","0","Commercial","","","","Ras Al Khor Industrial Second","Dubai"
"Building","0","","","0","","","","","","","2026-04-07 11:40:20","Ready","","Free Hold","No","","","","7198","","Government Authorities","","","","Madinat Al Mataar","Dubai"
"Building","0","","","0","","","","","","","2026-04-21 08:13:20","Ready","","Free Hold","No","","","","1761","0","","","","","Wadi Al Safa 2","Dubai"
"Building","0","","","0","","","","","","","2026-01-28 10:19:12","Ready","","Free Hold","No","","","","1634","0","","","","","Wadi Al Safa 2","Dubai"
"Building","0","","","0","","","","","","","2026-03-10 00:41:15","Ready","","Free Hold","No","","","","306","0","","","","","Warsan Fourth","Dubai"
"Building","0","","","0","","","","","","","2026-02-01 11:11:37","Ready","","Free Hold","Yes","","","","1058","0","Industrial","","","","Jabal Ali Industrial First","Dubai"
"Building","0","","","0","","","","","","","2026-04-02 09:07:55","Ready","","Free Hold","No","","","","1281","0","Commercial","","320","GALLERY VILLAS","Al Hebiah Fourth","Dubai"
"Building","0","","","0","","","","","","","2026-02-17 08:29:40","Ready","","Free Hold","No","","","","2008","0","Commercial","","","","Al Barsha South Fourth","Dubai"
"Building","0","","","0","","","","","","","2026-02-02 08:09:01","Ready","","Free Hold","No","","","","265","0","Industrial","","","","Saih Shuaib 4","Dubai"
"Building","0","","","0","","","","","","","2026-03-30 07:55:49","Ready","","Free Hold","Yes","","","","627","0","Commercial","","","","Dubai Investment Park First","Dubai"
"Building","0","","","0","","","","","","","2026-03-24 08:38:43","Ready","","Free Hold","No","","","","7198","","Government Authorities","","","","Madinat Al Mataar","Dubai"
"Building","0","","","0","","","","","","","2026-05-04 12:30:53","Ready","","Free Hold","No","","","","1905","0","","","","","Warsan Fourth","Dubai"
"Building","0","","","0","","","","","","","2026-04-25 14:40:54","Ready","","Free Hold","Yes","","","","2333","","Commercial","","","","Nadd Hessa","Dubai"
"Building","0","","","0","","","","","","","2026-02-26 04:52:17","Ready","","Free Hold","No","","","","163","0","Public Facilities","","","","Nad Al Shiba First","Dubai"
"Building","0","","","0","","","","","","","2026-02-26 04:34:55","Ready","","Free Hold","No","","","","215","0","Industrial","","","","Saih Shuaib 2","Dubai"
"Building","0","","","0","","","","","","","2026-02-26 04:40:49","Ready","","Free Hold","No","","","","651","0","Industrial","","","","Saih Shuaib 2","Dubai"
"Building","0","","","0","","","","","","","2026-03-10 00:47:36","Ready","","Free Hold","No","","","","222","0","Industrial","","","","Saih Shuaib 4","Dubai"
