DEVELOPER_NUMBER,DEVELOPER_EN,REGISTRATION_DATE,LICENSE_SOURCE_EN,LICENSE_TYPE_EN,LEGAL_STATUS_EN,WEBPAGE,PHONE,FAX,LICENSE_NUMBER,LICENSE_ISSUE_DATE,LICENSE_EXPIRY_DATE,CHAMBER_OF_COMMERCE_NO
"2598","ATRINIA DEVELOPMENTS L.L.C","2026-01-06 06:38:46","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","043933853","","993828","2021-10-17 00:00:00","2026-10-16 00:00:00",""
"2599","EYAAN INFRA DEVELOPMENT L.L.C","2026-01-06 06:41:08","DUBAI ECONOMIC DEPARTMENT","","","","","","1584542","2026-01-05 00:00:00","2027-01-04 00:00:00",""
"2600","MAJAN AL GHURAIR REAL ESTATE DEVELOPMENT L.L.C S.O.C","2026-01-06 10:30:45","DUBAI ECONOMIC DEPARTMENT","","","","","","1565710","2026-01-02 00:00:00","2027-01-01 00:00:00",""
"2601","LUXURY UNHID REAL ESTATE DEVELOPMENT L.L.C","2026-01-06 12:01:02","DUBAI ECONOMIC DEPARTMENT","","","","","","1581064","2026-01-02 00:00:00","2027-01-01 00:00:00",""
"2602","EMIRATES REPORTAGE DEVELOPMENT & INVESTMENT L.L.C. - DUBAI BRANCH","2026-01-07 08:16:21","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1433068","2024-10-30 00:00:00","2026-10-29 00:00:00",""
"2603","AL SAUD REAL ESTATE DEVELOPMENT L.L.C","2026-01-08 14:10:09","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1437643","2024-12-17 00:00:00","2026-12-16 00:00:00",""
"2604","SMART S A C R REAL ESTATE BROKERS L.L.C","2026-01-08 14:10:58","DUBAI ECONOMIC DEPARTMENT","","","","91552101038","971-4-8321902","985108","2021-10-10 00:00:00","2026-10-09 00:00:00",""
"2605","ANANTA SHINE DEVELOPERS L.L.C","2026-01-12 10:22:34","DUBAI ECONOMIC DEPARTMENT","","","","","","1589478","2026-01-09 00:00:00","2027-01-08 00:00:00",""
"2606","NBCC OVERSEAS REAL ESTATE L.L.C","2026-01-12 13:46:40","DUBAI ECONOMIC DEPARTMENT","","","","","","1493703","2025-04-23 00:00:00","2027-04-22 00:00:00",""
"2607","ASSET HOMES GLOBAL REAL ESTATE CONSULTANCY L.L.C","2026-01-13 09:18:47","DUBAI ECONOMIC DEPARTMENT","","","","","","1156233","2023-03-16 00:00:00","2026-03-14 00:00:00",""
"2608","GRAND GULF REAL ESTATE DEVELOPMENT L.L.C","2026-01-13 14:44:36","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1523315","2025-07-02 00:00:00","2026-07-01 00:00:00",""
"2609","HAYAT LUXURY","2026-01-14 09:28:23","DUBAI ECONOMIC DEPARTMENT","","","","","","1474249","2025-03-01 00:00:00","2026-02-28 00:00:00",""
"2610","ALPINE PRIME REAL ESTATE DEVELOPMENT L.L.C","2026-01-15 09:41:39","DUBAI ECONOMIC DEPARTMENT","","","","","","1587681","2026-01-13 00:00:00","2027-01-12 00:00:00",""
"2611","PRESTIGE GARDENS REAL ESTATE DEVELOPMENT L.L.C","2026-01-15 22:56:35","DUBAI ECONOMIC DEPARTMENT","","","","","","1591488","2026-01-15 00:00:00","2027-01-14 00:00:00",""
"2612","NEOTERRA DPC DEVELOPMENTS L.L.C","2026-01-15 00:00:00","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","Limited Responsibility","","042697535","042697535","1589338","2026-01-14 00:00:00","2027-01-13 00:00:00",""
"2613","URBANICA DEVELOPMENTS L.L.C","2026-01-15 22:59:49","DUBAI ECONOMIC DEPARTMENT","","","","","","1591756","2026-01-15 00:00:00","2027-01-14 00:00:00",""
"2614","GOLDFAIR REALTY L.L.C","2026-01-16 11:15:16","DUBAI ECONOMIC DEPARTMENT","","","","","","1591946","2026-01-15 00:00:00","2027-01-14 00:00:00",""
"2615","ALSAJRI REAL ESTATE DEVELOPMENT L.L.C S.O.C","2026-01-16 21:55:59","DUBAI ECONOMIC DEPARTMENT","","","","","","1591912","2026-01-16 00:00:00","2027-01-15 00:00:00",""
