PROPERTY_TOTAL_VALUE,AREA_EN,ACTUAL_AREA,PROCEDURE_YEAR,PROCEDURE_NUMBER,INSTANCE_DATE,ACTUAL_WORTH,PROCEDURE_AREA,PROPERTY_TYPE_EN,PROP_SUB_TYPE_EN
"54024","Saih Shuaib 2","16.73","2026","831","2026-02-05 11:04:42","54024","16.73","Land",""
"63028","Saih Shuaib 3","16.73","2026","832","2026-02-05 11:11:02","63028","16.73","Land",""
"82079","Al Mamzer","7625.48","2026","1897","2026-04-13 10:13:36","82079","7625.48","Land","Residential"
"100131","Madinat Hind 4","37.21","2026","840","2026-02-05 11:38:29","100131","37.21","Land",""
"100320","Al Yelayiss 2","37.28","2026","838","2026-02-05 11:30:59","100320","37.28","Land",""
"105136","Al Yufrah 1","39.07","2026","837","2026-02-05 11:25:50","105136","39.07","Land","Government Housing"
"143122","Al Hebiah Sixth","37.99","2026","833","2026-02-05 11:16:32","143122","37.99","Land",""
"185225","Al Thanyah First","43.02","2026","829","2026-02-05 10:58:34","185225","43.02","Land",""
"269098","Al Qusais Industrial Fifth","100","2026","934","2026-02-10 11:20:16","269098","100","Land",""
"302364","Al Warsan First","45","2026","41","2026-01-05 08:44:28","302363.68","45","Unit","Flat"
"308870","Me'Aisem First","114.78","2026","835","2026-02-05 11:21:13","308870","114.78","Land",""
"321771","Muhaisanah Second","45.99","2026","1005","2026-02-12 10:34:34","321771","45.99","Land",""
"352755","Warsan Fourth","36.04","2026","2045","2026-04-20 15:17:18","352755.26","36.04","Unit","Flat"
"450167","Me'Aisem First","49.08","2026","78","2026-01-05 21:27:38","450167.15","49.08","Unit","Flat"
"467286","Me'Aisem First","51.94","2026","2","2026-01-02 07:53:39","467285.5","51.94","Unit","Flat"
"467387","Me'Aisem First","51.94","2026","132","2026-01-06 21:29:32","467386.54","51.94","Unit","Flat"
"471159","Nadd Hessa","45.58","2026","1108","2026-02-16 15:40:44","471159.41","45.58","Unit","Flat"
"474366","Me'Aisem First","52.76","2026","77","2026-01-05 21:24:51","474366.36","52.76","Unit","Flat"
"476020","Me'Aisem First","53.12","2026","128","2026-01-06 21:16:23","476020.36","53.12","Unit","Flat"
"476776","Me'Aisem First","53.1","2026","131","2026-01-06 21:26:29","476776.34","53.1","Unit","Flat"
"476875","Me'Aisem First","53.1","2026","195","2026-01-08 20:53:47","476875.19","53.1","Unit","Flat"
"477052","Nadd Hessa","45.87","2026","1105","2026-02-16 15:13:38","477051.86","45.87","Unit","Flat"
"477943","Me'Aisem First","53.51","2026","123","2026-01-06 21:04:29","477943.13","53.51","Unit","Flat"
"479192","Me'Aisem First","53.5","2026","193","2026-01-08 20:49:19","479192.06","53.5","Unit","Flat"
"480045","Me'Aisem First","53.49","2026","199","2026-01-08 21:02:05","480044.56","53.49","Unit","Flat"
"480144","Me'Aisem First","53.49","2026","80","2026-01-05 21:33:33","480144.14","53.49","Unit","Flat"
"483230","Me'Aisem First","54.26","2026","111","2026-01-06 20:29:16","483229.76","54.26","Unit","Flat"
"484362","Me'Aisem First","54.26","2026","206","2026-01-08 21:17:27","484361.94","54.26","Unit","Flat"
"487754","Me'Aisem First","54.49","2026","82","2026-01-05 21:38:56","487754.33","54.49","Unit","Flat"
"489155","Al Warsan First","85","2026","38","2026-01-05 08:23:33","489155.01","85","Unit","Flat"
"495635","Me'Aisem First","55.64","2026","1","2026-01-02 07:47:24","495635.2","55.64","Unit","Flat"
"495815","Me'Aisem First","55.64","2026","75","2026-01-05 21:18:32","495814.97","55.64","Unit","Flat"
"495815","Me'Aisem First","55.64","2026","76","2026-01-05 21:21:49","495814.97","55.64","Unit","Flat"
"496791","Me'Aisem First","55.66","2026","129","2026-01-06 21:18:32","496790.93","55.66","Unit","Flat"
"496971","Me'Aisem First","55.66","2026","341","2026-01-14 10:13:34","496970.76","55.66","Unit","Flat"
"497556","Me'Aisem First","55.87","2026","209","2026-01-08 21:24:19","497555.88","55.87","Unit","Flat"
"497585","Me'Aisem First","55.9","2026","212","2026-01-08 21:30:45","497585.03","55.9","Unit","Flat"
"497674","Me'Aisem First","55.91","2026","338","2026-01-14 10:07:50","497674.04","55.91","Unit","Flat"
"497674","Me'Aisem First","55.91","2026","213","2026-01-08 21:35:43","497674.04","55.91","Unit","Flat"
"497674","Me'Aisem First","55.91","2026","201","2026-01-08 21:08:37","497674.04","55.91","Unit","Flat"
"497674","Me'Aisem First","55.91","2026","194","2026-01-08 20:51:28","497674.04","55.91","Unit","Flat"
"497736","Me'Aisem First","55.87","2026","68","2026-01-05 20:23:45","497736.39","55.87","Unit","Flat"
"497766","Me'Aisem First","55.9","2026","67","2026-01-05 20:17:46","497765.63","55.9","Unit","Flat"
